Force (N)_mean,Force (N)_std,Force (N)_min,Force (N)_max,Current (A)_mean,Current (A)_std,Current (A)_min,Current (A)_max,Pressure (PSI),Welding Time (ms),Angle (Deg),Thickness A (mm),Thickness B (mm),Welding_Time_Total
106.50899999999999,0.10439774369635241,106.31,106.6,2707.207,735.8031363233873,793.42,3333.32,80,1000,0,0.63,0.63,10000
106.24636363636364,0.02157439559883157,106.22,106.29,2595.8281818181817,693.8840309420325,934.74,3211.38,80,1000,0,0.657,0.637,11000
114.345,0.846167832052249,113.22,115.45,3199.9175,572.4579144293991,2260.16,3960.14,80,800,0,0.645,0.625,6400
114.02444444444444,0.0187823794493092,113.99,114.05,2708.6844444444446,728.1735602023585,1295.64,3526.39,80,800,0,0.628,0.634,7200
114.05222222222223,0.032317865716108805,114.0,114.09,2555.83,785.369897150381,1180.33,3388.59,80,800,0,0.635,0.623,7200
115.2125,0.06363961030677696,115.13,115.32,2723.3725,749.6134092555403,1073.49,3445.97,80,800,0,0.645,0.632,6400
114.94555555555556,0.10989894347889284,114.79,115.11,2684.8877777777775,728.9847030592923,1140.31,3387.57,80,800,0,0.623,0.633,7200
114.89333333333333,0.06422616289333066,114.78,114.97,2770.027777777778,687.6876495142575,1421.0,3525.9,80,800,0,0.634,0.636,7200
115.145,0.09710083124552688,115.0,115.28,2805.50375,685.5560912955992,1200.56,3493.55,80,800,0,0.625,0.636,6400
115.55222222222223,0.15303412836502944,115.33,115.78,2691.7044444444446,786.0755248560903,897.19,3408.33,80,800,0,0.632,0.634,7200
115.5575,0.14058551032836247,115.37,115.78,2863.96125,736.76666696815,1238.63,3514.17,80,800,0,0.653,0.635,6400
115.24888888888889,0.07356025496904448,115.14,115.36,2799.8333333333335,714.5718378161849,1105.07,3559.4,80,800,0,0.626,0.631,7200
115.85333333333334,0.04690415759822715,115.78,115.91,2756.8433333333332,773.2361972579916,1060.59,3560.85,80,800,0,0.631,0.63,7200
116.05444444444444,0.03205897343611788,116.01,116.1,2656.5655555555554,827.819519915288,746.51,3345.68,80,800,0,0.639,0.637,7200
116.03666666666666,0.03316624790355056,116.01,116.1,2822.1855555555553,796.3076009481373,1150.82,3627.37,80,800,0,0.638,0.64,7200
115.94222222222223,0.038005847503306725,115.89,116.0,2796.0844444444447,620.4789337703397,1565.0,3389.6,80,800,0,0.636,0.639,7200
115.845,0.028784916685160738,115.8,115.89,2833.96375,713.9123705917474,1312.79,3452.45,80,800,0,0.638,0.632,6400
115.695,0.061644140029692526,115.6,115.77,2903.715,627.1675417758344,1484.93,3622.15,80,800,0,0.642,0.634,6400
115.50777777777778,0.018559214542768165,115.49,115.55,2877.278888888889,649.2045650918602,1568.3,3483.69,80,800,0,0.638,0.634,7200
115.53333333333333,0.04358898943540124,115.48,115.61,2793.1566666666668,570.2150194663411,1578.14,3500.93,80,800,0,0.634,0.635,7200
115.78888888888888,0.08964435905906361,115.65,115.92,2708.1499999999996,790.6133130835832,1150.82,3435.47,80,800,0,0.632,0.632,7200
115.95666666666668,0.025495097567963608,115.92,115.99,2650.3122222222223,655.2679403262795,1467.45,3349.28,80,800,0,0.646,0.651,7200
116.01333333333332,0.02499999999999791,115.97,116.04,2728.2255555555553,651.511509877437,1255.19,3358.0,80,800,0,0.633,0.64,7200
116.005,0.015118578920371254,115.98,116.03,2659.6725,884.7541088710952,639.81,3508.78,80,800,0,0.632,0.634,6400
115.92875000000001,0.013562026818599646,115.91,115.95,2684.92375,837.1298539130595,835.65,3470.34,80,800,0,0.635,0.635,6400
115.88444444444445,0.02242270674512272,115.84,115.91,2798.0266666666666,654.0726044943327,1306.22,3357.48,80,800,0,0.627,0.641,7200
115.9225,0.011649647450224773,115.9,115.93,2663.66875,787.3220837467708,837.7,3338.47,80,800,0,0.637,0.623,6400
115.61999999999999,0.20006249023742861,115.31,115.89,2813.912222222222,888.9288585395597,873.88,3715.44,80,800,0,0.623,0.637,7200
113.65888888888888,0.6742670918197787,112.75,114.64,2926.7855555555557,741.1260305796699,1307.54,3713.59,80,800,0,0.637,0.644,7200
114.17555555555555,0.28403833857030447,113.8,114.64,3001.5266666666666,637.8276844885303,1935.48,3771.95,80,800,0,0.625,0.634,7200
113.84333333333332,0.01870828693386609,113.81,113.87,2887.104444444444,699.8291014260396,1270.17,3519.06,80,800,0,0.625,0.626,7200
114.58999999999999,0.3386369737639338,114.05,115.0,2954.9744444444445,830.381521893869,1055.72,3880.29,80,800,0,0.634,0.633,7200
